State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Alabama ","1,332,972 ",N/A,N/A,N/A,2024,8,2023,1,
"Alaska ","259,089 ","74,196 ","74,195 ","1 ",2024,8,2023,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","33,887 ",N/A,N/A,N/A,2024,8,2023,1,
"Arizona ","2,439,508 ","736,011 ","194,990 ","541,021 ",2024,8,2023,1,
"Arkansas ","1,106,404 ","357,396 ","334,700 ","22,696 ",2024,8,2023,1,
"California ","15,148,920 ","5,162,450 ","5,131,406 ","31,044 ",2024,8,2023,1,
"Colorado ","1,700,185 ","626,758 ","615,128 ","11,630 ",2024,8,2023,1,
"Connecticut ","1,178,077 ","376,648 ","344,611 ","32,037 ",2024,8,2023,1,
"Delaware ","291,066 ","97,798 ","15,794 ","82,004 ",2024,8,2023,1,
"Dist. Of Col. ","292,549 ","138,745 ","93,122 ","45,623 ",2024,8,2023,1,
"Florida ","5,688,171 ",N/A,N/A,N/A,2024,8,2023,1,
"Georgia ","2,566,064 ",N/A,N/A,N/A,2024,8,2023,1,
"Guam ","44,424 ","6,082 ",N/A,"6,082 ",2024,8,2023,1,
"Hawaii ","466,870 ","188,801 ","32,270 ","156,531 ",2024,8,2023,1,
"Idaho ","480,732 ","148,190 ","148,190 ","0 ",2024,8,2023,1,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,460,404 ","1,032,208 ","934,670 ","97,538 ",2024,8,2023,1,
"Indiana ","2,074,285 ","606,236 ","606,236 ","0 ",2024,8,2023,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","799,361 ","265,525 ","196,666 ","68,859 ",2024,8,2023,1,
"Kansas ","468,918 ",N/A,N/A,N/A,2024,8,2023,1,
"Kentucky ","1,579,195 ","651,674 ","651,674 ","0 ",2024,8,2023,1,
"Louisiana ","1,886,359 ","771,527 ","771,527 ","0 ",2024,8,2023,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","401,159 ","113,307 ","89,754 ","23,553 ",2024,8,2023,1,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,595,529 ","461,440 ","461,440 ","0 ",2024,8,2023,1,
"Massachusetts ","2,193,464 ","491,336 ","0 ","491,336 ",2024,8,2023,1,
"Michigan ","3,072,419 ","1,064,511 ","992,865 ","71,646 ",2024,8,2023,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,403,235 ","317,524 ","317,524 ","0 ",2024,8,2023,1,
"Mississippi ","846,264 ",N/A,N/A,N/A,2024,8,2023,1,
"Missouri ","1,454,677 ","311,809 ","311,809 ","0 ",2024,8,2023,1,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","311,945 ","123,889 ","123,889 ","0 ",2024,8,2023,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","18,738 ",N/A,N/A,N/A,2024,8,2023,1,
"Nebraska ","393,413 ","82,259 ","80,521 ","1,738 ",2024,8,2023,1,
"Nevada ","829,878 ","365,125 ","365,125 ","0 ",2024,8,2023,1,
"New Hampshire ","237,805 ","96,286 ","95,804 ","482 ",2024,8,2023,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","2,100,461 ","766,741 ","766,741 ","0 ",2024,8,2023,1,
"New Mexico ","993,227 ","296,663 ","296,663 ","0 ",2024,8,2023,1,
"New York ","7,817,979 ","2,564,321 ","439,644 ","2,124,677 ",2024,8,2023,1,
"North Carolina ","2,929,613 ","0 ","0 ","0 ",2024,8,2023,1,
"North Dakota ","132,782 ","36,419 ","34,646 ","1,773 ",2024,8,2023,1,
"Ohio ","3,612,310 ","899,844 ","899,559 ","285 ",2024,8,2023,1,
"Oklahoma ","1,248,449 ","366,794 ","366,794 ","0 ",2024,8,2023,1,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,313,332 ","737,573 ","627,800 ","109,773 ",2024,8,2023,1,
"Pennsylvania ","3,657,933 ","1,181,269 ","1,113,511 ","67,758 ",2024,8,2023,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,499,520 ","685,304 ",N/A,"685,304 ",2024,8,2023,1,
"Rhode Island ","357,183 ","101,349 ","101,349 ","0 ",2024,8,2023,1,
"South Carolina ","1,591,624 ",N/A,N/A,N/A,2024,8,2023,1,
